,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10,0.047169811,0.041176471,0.035087719,0.044444444,0.043478261,0.047337278,0.047058824,0.045454545,0.042105263,0.043715847,0.046242775,0.046242775,0.051020408,0.046357616,0.046979866,0.045918367,0.043478261,0.049180328,0.048484848,0.045454545,0.045454545,0.045454545,0.047337278,0.046511628,0.049689441,0.047120419,0.046783626,0.046052632,0.044692737,0.046511628
11,0.04245283,0.041176471,0.035087719,0.044444444,0.043478261,0.041420118,0.047058824,0.045454545,0.042105263,0.043715847,0.040462428,0.040462428,0.051020408,0.039735099,0.046979866,0.035714286,0.043478261,0.049180328,0.042424242,0.045454545,0.045454545,0.045454545,0.047337278,0.046511628,0.043478261,0.047120419,0.046783626,0.046052632,0.044692737,0.046511628
12,0.033018868,0.041176471,0.035087719,0.044444444,0.043478261,0.041420118,0.041176471,0.045454545,0.036842105,0.043715847,0.040462428,0.040462428,0.051020408,0.039735099,0.046979866,0.035714286,0.043478261,0.043715847,0.042424242,0.045454545,0.045454545,0.039772727,0.047337278,0.046511628,0.043478261,0.047120419,0.046783626,0.046052632,0.044692737,0.046511628
13,0.033018868,0.041176471,0.030701754,0.038888889,0.043478261,0.041420118,0.041176471,0.038961039,0.036842105,0.038251366,0.040462428,0.040462428,0.040816327,0.039735099,0.040268456,0.035714286,0.043478261,0.043715847,0.042424242,0.045454545,0.038961039,0.039772727,0.041420118,0.040697674,0.043478261,0.047120419,0.046783626,0.039473684,0.039106145,0.046511628
14,0.033018868,0.035294118,0.030701754,0.038888889,0.043478261,0.041420118,0.041176471,0.038961039,0.036842105,0.038251366,0.034682081,0.040462428,0.040816327,0.039735099,0.040268456,0.035714286,0.043478261,0.043715847,0.042424242,0.045454545,0.038961039,0.039772727,0.035502959,0.040697674,0.037267081,0.047120419,0.046783626,0.039473684,0.039106145,0.046511628
15,0.028301887,0.035294118,0.030701754,0.033333333,0.043478261,0.041420118,0.035294118,0.038961039,0.036842105,0.038251366,0.034682081,0.040462428,0.040816327,0.039735099,0.040268456,0.035714286,0.043478261,0.038251366,0.036363636,0.038961039,0.038961039,0.039772727,0.035502959,0.040697674,0.037267081,0.041884817,0.040935673,0.039473684,0.039106145,0.046511628
16,0.028301887,0.035294118,0.030701754,0.033333333,0.043478261,0.035502959,0.035294118,0.038961039,0.036842105,0.038251366,0.034682081,0.040462428,0.040816327,0.039735099,0.040268456,0.035714286,0.043478261,0.038251366,0.036363636,0.038961039,0.038961039,0.039772727,0.035502959,0.040697674,0.037267081,0.041884817,0.040935673,0.039473684,0.033519553,0.046511628
17,0.028301887,0.029411765,0.030701754,0.033333333,0.043478261,0.035502959,0.035294118,0.038961039,0.031578947,0.032786885,0.034682081,0.040462428,0.040816327,0.033112583,0.040268456,0.035714286,0.038043478,0.038251366,0.036363636,0.038961039,0.038961039,0.034090909,0.035502959,0.040697674,0.037267081,0.041884817,0.040935673,0.039473684,0.033519553,0.03875969
18,0.028301887,0.029411765,0.026315789,0.033333333,0.043478261,0.035502959,0.035294118,0.032467532,0.031578947,0.032786885,0.034682081,0.034682081,0.040816327,0.033112583,0.040268456,0.035714286,0.038043478,0.038251366,0.036363636,0.038961039,0.038961039,0.034090909,0.035502959,0.040697674,0.037267081,0.036649215,0.040935673,0.039473684,0.033519553,0.03875969
19,0.028301887,0.029411765,0.026315789,0.027777778,0.043478261,0.035502959,0.035294118,0.032467532,0.031578947,0.032786885,0.034682081,0.034682081,0.040816327,0.033112583,0.040268456,0.030612245,0.038043478,0.038251366,0.036363636,0.038961039,0.038961039,0.034090909,0.029585799,0.040697674,0.037267081,0.036649215,0.035087719,0.039473684,0.033519553,0.03875969
